Incident Type;Hazards;Hazard Paths;Origins;Date
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;7-7-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;13-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;13-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;13-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;13-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;13-6-2023
border rejection;pesticides;pesticides;canada;12-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;9-6-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;9-6-2023
border rejection;pesticides;pesticides;guatemala;6-6-2023
border rejection;dimethoate;pesticides > organophosphate > dimethoate;china;31-5-2023
alert;tolfenpyrad;pesticides > pyrazole > tolfenpyrad;japan;26-5-2023
border rejection;pesticides;pesticides;canada;24-5-2023
border rejection;pesticides;pesticides;canada;24-5-2023
border rejection;misbranding, incorrect labeling, labelling/misdescription;labelling/misdescription > misbranding, labelling/misdescription > incorrect labeling, labelling/misdescription;mexico;22-5-2023
alert;tebuconazole;pesticides > triazole > tebuconazole;japan;16-5-2023
border rejection;pesticides;pesticides;canada;12-5-2023
border rejection;misbranding;labelling/misdescription > misbranding;canada;12-5-2023
border rejection;oxamyl;pesticides > carbamate > oxamyl;egypt;12-5-2023
border rejection;pesticides;pesticides;canada;28-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;mexico;10-4-2023
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;10-4-2023
border rejection;pesticides;pesticides;mexico;7-4-2023
alert;hepatitis a, foodborne outbreak;pathogen > virus > enteric viruses > enteroviruses > hepatitis a, foodborne outbreak;united states;17-3-2023
alert;hepatitis a, foodborne outbreak;pathogen > virus > enteric viruses > enteroviruses > hepatitis a, foodborne outbreak;united states;17-3-2023
alert;hepatitis a, foodborne outbreak;pathogen > virus > enteric viruses > enteroviruses > hepatitis a, foodborne outbreak;united states;16-3-2023
alert;norovirus;pathogen > virus > enteric viruses > norovirus;egypt;21-12-2022
border rejection;bupirimate;pesticides > bupirimate;netherlands;15-11-2022
border rejection;chlorate;pesticides > inorganic compound > chlorate;morocco;9-11-2022
border rejection;benzoic acid;chemical compound (high content) > benzoic acid;vietnam;21-10-2022
border rejection;metalaxyl;pesticides > phenylamide > metalaxyl;peru;4-10-2022
alert;ametoctradin, chlorpyrifos;pesticides > ametoctradin, pesticides > organophosphate > chlorpyrifos;serbia;3-10-2022
border rejection;non-compliance to standards;poor or insufficient controls > non-compliance to standards;china;1-8-2022
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;china;20-7-2022
border rejection;omethoate;pesticides > organophosphate > omethoate;china;19-7-2022
border rejection;dimethoate, famoxadone, bromopropylate, haloxyfop;pesticides > organophosphate > dimethoate, pesticides > oxazole > famoxadone, pesticides > benzilate > bromopropylate, pesticides > haloxyfop;iran;4-7-2022
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;united states;5-6-2022
border rejection;pesticides;pesticides;mexico;4-5-2022
border rejection;methomyl, monocrotophos, methamidophos;pesticides > carbamate > methomyl, pesticides > organophosphate > monocrotophos, pesticides > organophosphate > methamidophos;mexico;26-4-2022
border rejection;pesticides;pesticides;mexico;11-4-2022
alert;sulphates/sulphites;adulteration (ema) > addition > enhancers/neutralizers > sulphates/sulphites;united states;31-3-2022
border rejection;pesticides;pesticides;peru;28-3-2022
border rejection;pesticides;pesticides;peru;28-3-2022
border rejection;pesticides;pesticides;peru;28-3-2022
border rejection;methomyl, chlorfenapyr;pesticides > carbamate > methomyl, pesticides > pyrrole > chlorfenapyr;peru;11-3-2022
border rejection;chlorfenapyr, methomyl;pesticides > pyrrole > chlorfenapyr, pesticides > carbamate > methomyl;peru;11-3-2022
border rejection;penconazole;pesticides > penconazole;chile;25-2-2022
border rejection;pesticides;pesticides;chile;17-2-2022
border rejection;pesticides;pesticides;chile;17-2-2022
border rejection;pesticides;pesticides;chile;17-2-2022
alert;etoxazole;pesticides > etoxazole;united states;16-2-2022
border rejection;carbaryl;pesticides > carbamate > carbaryl;new zealand;22-12-2021
border rejection;iprodione, procymidone;pesticides > dicarboximide > iprodione, pesticides > dicarboximide > procymidone;china;2-9-2021
border rejection;tebuconazole;pesticides > triazole > tebuconazole;albania;30-4-2021
border rejection;pesticides;pesticides;mexico;14-4-2021
border rejection;pesticides;pesticides;mexico;5-4-2021
border rejection;penconazole;pesticides > penconazole;chile;25-3-2021
border rejection;pesticides;pesticides;mexico;23-3-2021
border rejection;methamidophos, propargite;pesticides > organophosphate > methamidophos, pesticides > sulphite ester > propargite;mexico;22-3-2021
border rejection;propargite, methamidophos;pesticides > sulphite ester > propargite, pesticides > organophosphate > methamidophos;mexico;22-3-2021
border rejection;pesticides;pesticides;chile;18-3-2021
border rejection;pesticides;pesticides;chile;18-3-2021
border rejection;pesticides;pesticides;poland;28-1-2021
border rejection;pesticides;pesticides;poland;28-1-2021
border rejection;pesticides;pesticides;mexico;29-9-2020
border rejection;pesticides;pesticides;chile;14-5-2020
border rejection;pesticides;pesticides;chile;14-5-2020
border rejection;pesticides;pesticides;chile;13-5-2020
border rejection;pesticides;pesticides;chile;13-5-2020
border rejection;pesticides;pesticides;chile;29-4-2020
border rejection;pesticides;pesticides;chile;29-4-2020
border rejection;pesticides;pesticides;chile;28-4-2020
border rejection;pesticides;pesticides;chile;28-4-2020
border rejection;pesticides;pesticides;chile;25-4-2020
border rejection;pesticides;pesticides;chile;25-4-2020
border rejection;pesticides;pesticides;chile;24-4-2020
border rejection;pesticides;pesticides;chile;24-4-2020
border rejection;pesticides;pesticides;chile;23-4-2020
border rejection;pesticides;pesticides;chile;23-4-2020
border rejection;pesticides;pesticides;mexico;12-3-2020
border rejection;pesticides;pesticides;chile;9-3-2020
border rejection;profenofos, propargite, methamidophos;pesticides > organophosphate > profenofos, pesticides > sulphite ester > propargite, pesticides > organophosphate > methamidophos;mexico;4-3-2020
border rejection;methomyl;pesticides > carbamate > methomyl;chile;26-2-2020
border rejection;unauthorised colour, pesticides, unauthorised ingredient (fraud);unauthorised colour, pesticides, unauthorised ingredient (fraud);mexico;18-2-2020
border rejection;pesticides;pesticides;egypt;18-2-2020
border rejection;propargite;pesticides > sulphite ester > propargite;egypt;4-2-2020
border rejection;propargite;pesticides > sulphite ester > propargite;egypt;4-2-2020
border rejection;radiation;radiation;china;27-12-2019
border rejection;coliforms;non-pathogenic microorganisms > coliforms;united states;21-11-2019
border rejection;unauthorised colour, unauthorised ingredient (fraud);unauthorised colour, unauthorised ingredient (fraud);china;13-11-2019
border rejection;paclobutrazol, isoprocarb, bupirimate;pesticides > paclobutrazol, pesticides > carbamate > isoprocarb, pesticides > bupirimate;china;4-10-2019
border rejection;bupirimate, isoprocarb, paclobutrazol;pesticides > bupirimate, pesticides > carbamate > isoprocarb, pesticides > paclobutrazol;china;4-10-2019
alert;norovirus;pathogen > virus > enteric viruses > norovirus;canada;5-7-2019
border rejection;profenofos, propargite;pesticides > organophosphate > profenofos, pesticides > sulphite ester > propargite;mexico;20-6-2019
border rejection;coliforms;non-pathogenic microorganisms > coliforms;south korea;17-6-2019
border rejection;methomyl, monocrotophos, methamidophos;pesticides > carbamate > methomyl, pesticides > organophosphate > monocrotophos, pesticides > organophosphate > methamidophos;mexico;31-5-2019
alert;norovirus;pathogen > virus > enteric viruses > norovirus;united states;12-4-2019
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;28-3-2019
border rejection;pesticides;pesticides;mexico;8-3-2019
border rejection;propamocarb;pesticides > propamocarb;egypt;5-2-2019
border rejection;pesticides;pesticides;egypt;29-1-2019
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;26-11-2018
food;dichlorvos;pesticides > organophosphate > dichlorvos;belgium;12-10-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;2-10-2018
border rejection;ethion;pesticides > organophosphate > ethion;egypt;25-9-2018
border rejection;ethion;pesticides > organophosphate > ethion;egypt;25-9-2018
alert;metal pieces;metal fragment > metal pieces;australia;17-9-2018
border rejection;methanol;methanol;mexico;30-8-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;29-8-2018
